BCN,Article,Size,Brand,Colour,MRP,SalesPrice,TotalQty,ItemCode,ItemName
,PLAIN,XL,VERITO,,154.0,140.0,14649.0,1391,BABY PAJAMI
1011,101,M,WHITE ROSE,COLOUR,160.0,110.0,10.0,1358,WHITE ROSE BCN
1012,101,XL,WHITE ROSE,COLOUR,180.0,130.0,1.0,1358,WHITE ROSE BCN
1013,101,2XL,WHITE ROSE,COLOUR,190.0,140.0,3.0,1358,WHITE ROSE BCN
1014,101B,L,WHITE ROSE,BLACK,190.0,140.0,30.0,1358,WHITE ROSE BCN
1015,101B,M,WHITE ROSE,BLACK,190.0,140.0,17.0,1358,WHITE ROSE BCN
1016,101B,XL,WHITE ROSE,BLACK,200.0,150.0,13.0,1358,WHITE ROSE BCN
1017,101B,2XL,WHITE ROSE,BLACK,200.0,150.0,18.0,1358,WHITE ROSE BCN
1018,101W,L,WHITE ROSE,WHITE,190.0,140.0,24.0,1358,WHITE ROSE BCN
1019,101W,M,WHITE ROSE,WHITE,190.0,140.0,16.0,1358,WHITE ROSE BCN
101M,101,M,WHITE ROSE,,210.0,110.0,4.0,1358,WHITE ROSE BCN
1020,101W,XL,WHITE ROSE,WHITE,200.0,150.0,13.0,1358,WHITE ROSE BCN
1164,1164,FREE,OSWAL,,150.0,100.0,1.0,1579,CAP GENTS
11830,118,30,TXXI JUNIO,,260.0,160.0,12.0,1350,TSHIRT BOYS H/S
11832,118,32,TXXI JUNIO,,270.0,170.0,10.0,1350,TSHIRT BOYS H/S
11834,118,34,TXXI JUNIO,,270.0,170.0,10.0,1350,TSHIRT BOYS H/S
1201M,CL-MT4,M,UNIBERRY,,390.0,290.0,3.0,1353,TSHIRT GENTS H/S
143,143,FREE,OSWAL,,210.0,160.0,6.0,1579,CAP GENTS
2002,2002,FREE,OSWAL,,200.0,150.0,3.0,1580,CAP KIDS
2003,2003,FREE,OSWAL,,210.0,160.0,2.0,1580,CAP KIDS
2006,2006,FREE,OSWAL,,200.0,150.0,6.0,1580,CAP KIDS
2009,2009,FREE,OSWAL,,200.0,150.0,1.0,1580,CAP KIDS
2058,2058,FREE,OSWAL,,300.0,250.0,2.0,1580,CAP KIDS
2073,2073,FREE,OSWAL,,280.0,230.0,9.0,1579,CAP GENTS
2077,2077,FREE,OSWAL,,250.0,200.0,2.0,1579,CAP GENTS
2079,2079,FREE,OSWAL,,260.0,210.0,6.0,1579,CAP GENTS
2101,2101,FREE,OSWAL,,250.0,200.0,2.0,1578,CAP LADIES
27626,MT4,L,UNIBERRY,PLAIN,400.0,300.0,3.0,1353,TSHIRT GENTS H/S
27627,MT4,XL,UNIBERRY,PLAIN,410.0,310.0,5.0,1353,TSHIRT GENTS H/S
3102,3102,FREE,OSWAL,,300.0,250.0,1.0,1575,MUFFLER GENTS
3484,3484,FREE,OSWAL,,270.0,220.0,10.0,1576,GLOVES LADIES
3628,3628,FREE,OSWAL,,270.0,220.0,1.0,1581,GLOVES GENTS
658,658,FREE,OSWAL,,250.0,200.0,1.0,1575,MUFFLER GENTS
70001,244000,L,LEUFORT,REVERSIBLE,1250.0,1150.0,1.0,1541,JACKET GENTS
70002,244000,L,LEUFORT,REVERSIBLE,1250.0,1150.0,1.0,1541,JACKET GENTS
70004,244000,XL,LEUFORT,REVERSIBLE,1250.0,1150.0,1.0,1541,JACKET GENTS
70014,249506,L,ORIGINAL,2 POCKET,1700.0,1600.0,1.0,1615,SHACKET GENTS
70015,249506,L,ORIGINAL,2 POCKET,1700.0,1600.0,1.0,1615,SHACKET GENTS
70016,249506,L,ORIGINAL,2 POCKET,1700.0,1600.0,1.0,1615,SHACKET GENTS
